id,estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa,descricao
9082,RO,4221902,507101,0,12,3,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9083,PE,4669999,85731,0,1,4,FOO456,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9084,DF,7112000,504249,0,7,1,MEL789,SERVIÇOS DE ENGENHARIA
9085,RO,3329599,473954,1,16,4,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9086,AL,3511501,528714,0,19,3,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
9087,DF,4221902,778803,0,16,1,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9088,PE,4321500,448089,4,17,3,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9089,PA,4321500,558227,0,4,4,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9090,PR,4673700,376785,1,13,2,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9091,AM,4742300,761729,0,17,3,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
9092,MG,2821602,165491,3,19,2,MEL789,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
9093,MS,3321000,834575,3,16,1,CABL951,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9094,AC,3511502,886581,3,20,2,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9095,RO,4221902,129637,0,2,3,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9096,BA,4322302,297502,2,18,1,MEL789,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
9097,PB,4221902,537346,0,16,3,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9098,ES,3511501,830431,0,11,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
9099,GO,2821601,581849,3,4,2,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9100,RJ,4669901,300626,4,19,2,JJF753,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
9101,RJ,3321000,691094,0,12,3,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9102,PA,4754703,808610,0,18,1,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9103,PR,4221902,348264,0,4,2,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9104,PB,4221902,112104,0,15,3,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9105,MG,3511501,297518,3,16,3,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
9106,SC,4321500,76506,1,16,1,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9107,RJ,4221902,294272,3,5,4,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9108,TO,4322303,141704,0,2,3,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
9109,RR,4754703,26815,0,5,4,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9110,TO,3511501,184109,0,8,1,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
9111,PR,4321500,55378,3,19,1,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9112,PB,2731700,822559,3,13,4,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9113,RO,3321000,93447,0,5,1,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9114,PE,4754703,223706,0,17,1,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9115,PI,7112000,220113,0,3,1,MEL789,SERVIÇOS DE ENGENHARIA
9116,AC,3511502,150176,0,6,3,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9117,MG,3511501,791182,3,13,2,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
9118,MA,4754703,551527,0,12,4,FOO456,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9119,BA,4669901,533403,0,14,2,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
9120,MT,4669999,536331,2,1,3,JJF753,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9121,DF,4321500,335700,0,16,3,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9122,RO,2821601,246979,0,21,2,JJF753,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9123,PE,4673700,979272,2,2,1,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9124,AM,2731700,712063,0,4,2,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9125,CE,4669901,795733,0,3,3,MEL789,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
9126,ES,3321000,346731,0,15,4,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9127,AL,2731700,42899,3,3,3,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9128,RS,2821602,784916,1,15,2,XPTO123,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
9129,RO,2821601,266357,3,9,1,JJF753,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9130,AP,2731700,799362,0,9,1,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9131,RS,4754703,668618,0,11,1,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9132,RS,2731700,840229,1,11,4,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9133,CE,3329599,809334,1,13,2,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9134,AC,4221903,53036,0,20,4,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9135,PB,2821601,623923,3,19,3,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9136,MS,4321500,454983,4,2,2,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9137,PA,4669999,547247,1,20,3,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9138,PB,4673700,540937,0,8,3,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9139,GO,7112000,948024,4,15,4,MEL789,SERVIÇOS DE ENGENHARIA
9140,AM,3511502,86050,0,6,3,JJF753,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9141,RR,4321500,50025,4,4,1,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9142,PA,4322302,338494,0,5,2,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
9143,MS,4321500,299830,0,1,3,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9144,AP,4754703,200708,0,13,2,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9145,RN,3313901,513427,0,1,1,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
9146,MA,4669901,141725,0,14,1,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
9147,TO,4669999,759830,4,17,3,FOO456,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9148,DF,4321500,514342,0,6,4,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9149,RN,4221903,362459,3,12,4,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9150,AC,3511502,252282,0,6,1,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9151,DF,4754703,607297,2,13,1,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9152,PE,4754703,949744,0,3,2,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9153,RN,4669999,415593,0,5,3,FOO456,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9154,PB,4322301,989931,0,18,1,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9155,TO,3511501,627985,0,10,4,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
9156,MS,4742300,288980,0,19,2,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
9157,RO,4321500,736279,0,15,1,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9158,RJ,4742300,600672,0,10,4,MEL789,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
9159,MA,3313901,982339,0,7,2,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
9160,BA,3329599,571394,3,19,4,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9161,MG,4322301,236349,1,21,2,CABL951,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9162,CE,3329599,967954,0,19,3,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9163,MT,4321500,510354,2,15,3,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9164,SC,4742300,288073,4,2,3,XPTO123,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
9165,PE,3511501,14861,3,17,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
9166,MA,4321500,361452,0,7,1,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9167,ES,4669999,799989,3,5,4,JJF753,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9168,SP,4322303,230895,0,13,2,MEL789,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
9169,GO,7112000,198523,0,8,2,XPTO123,SERVIÇOS DE ENGENHARIA
9170,MT,4742300,832158,4,17,2,MEL789,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
9171,RR,3329599,996527,1,16,1,CABL951,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9172,PA,2731700,651288,0,21,1,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9173,RS,4322301,570079,2,20,1,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9174,TO,3511501,18420,0,12,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
9175,PI,3321000,879304,0,10,2,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9176,MT,4754703,100233,0,21,3,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9177,ES,4321500,656770,0,20,3,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9178,RR,4221902,583570,0,11,2,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9179,DF,2821602,554327,0,12,4,XPTO123,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
9180,AC,2821601,676470,0,10,1,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9181,MA,2731700,622624,3,1,4,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9182,RN,4221902,327181,0,20,4,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9183,SC,4669901,252234,1,3,4,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
9184,RN,4322302,281398,2,7,1,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
9185,DF,4754703,634765,0,3,1,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9186,BA,2731700,79902,1,8,4,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9187,ES,4221903,251052,1,9,2,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9188,PE,4673700,248602,0,2,1,CABL951,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9189,RS,4221903,733956,4,2,1,XPTO123,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9190,RO,4321500,602805,0,20,3,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9191,RS,3329599,272841,0,16,2,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9192,BA,4322301,780327,1,15,1,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9193,PR,4673700,957208,0,10,1,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9194,TO,3511500,797246,3,4,2,JJF753,
9195,PA,3511501,531307,3,11,2,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
9196,AL,3511502,196445,0,3,1,CABL951,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9197,AP,4221903,378590,0,3,1,MEL789,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9198,AL,2821601,526803,0,9,3,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9199,RS,2821602,309947,0,13,1,JJF753,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
9200,PR,3511502,969354,3,8,2,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9201,PR,7112000,185302,2,1,2,CABL951,SERVIÇOS DE ENGENHARIA
9202,DF,4221903,101743,0,4,1,XPTO123,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9203,SC,4321500,174486,3,21,3,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9204,AL,3511500,757052,2,11,4,CABL951,
9205,AP,4322302,39564,0,15,1,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
9206,TO,4221902,38466,1,18,1,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9207,RO,4754703,343497,4,19,2,FOO456,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9208,MT,3511500,467137,0,13,4,MEL789,
9209,ES,3321000,450117,0,11,1,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9210,ES,4322303,540062,0,21,1,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
9211,RS,3511502,430452,1,3,4,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9212,RR,4669999,563036,0,5,2,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
9213,AP,4322301,775349,0,21,2,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9214,RR,3511500,393852,0,15,1,XPTO123,
9215,RJ,3313901,241372,0,16,2,XPTO123,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
9216,PA,4221903,680472,2,14,2,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9217,MS,2731700,105739,3,6,3,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9218,PE,3511501,754721,2,4,3,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
9219,ES,4673700,727826,0,1,1,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9220,SP,4673700,168410,1,2,4,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9221,CE,2731700,707490,1,12,3,XPTO123,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9222,TO,4322303,499527,2,11,4,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
9223,PA,4754703,489691,0,21,3,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9224,RO,3511501,216859,3,5,3,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
9225,SE,2821601,863330,0,16,4,FOO456,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9226,PA,2821601,557673,0,15,4,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9227,MS,7112000,696631,2,16,3,CABL951,SERVIÇOS DE ENGENHARIA
9228,TO,4321500,628485,1,2,3,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9229,PE,4673700,35486,0,12,1,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9230,AM,3511500,920709,0,20,4,XPTO123,
9231,AM,3313901,733010,0,5,1,JJF753,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
9232,SE,3313901,899880,0,11,3,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
9233,RS,7112000,337596,1,20,2,JJF753,SERVIÇOS DE ENGENHARIA
9234,RR,4321500,385912,0,19,3,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9235,RJ,4673700,389143,0,18,2,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9236,RJ,4322301,464763,0,8,2,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9237,AL,3511500,400307,0,14,1,JJF753,
9238,AL,4754703,736019,0,17,1,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9239,SC,4322301,515863,0,9,4,CABL951,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9240,BA,4322301,184590,0,20,4,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9241,GO,3329599,633999,1,19,2,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9242,ES,3321000,807294,0,5,1,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9243,PA,4673700,422897,0,1,3,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9244,AP,4673700,22062,1,4,4,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9245,PB,4221903,990019,0,14,2,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9246,RJ,3511502,469700,0,20,2,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9247,PB,4321500,927584,0,14,3,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9248,AL,4322303,227226,0,17,2,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
9249,SC,4673700,611376,0,14,2,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
9250,RS,2821602,317385,0,1,2,MEL789,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
9251,AC,2821601,23386,2,7,3,CABL951,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9252,RO,4742300,656730,0,3,1,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
9253,RN,4321500,599278,0,18,1,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
9254,PA,3511500,597926,3,8,1,CABL951,
9255,AL,3329599,283491,0,15,3,CABL951,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9256,AM,2731700,232779,1,19,4,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9257,MT,2731700,786304,0,18,2,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
9258,MS,4754703,228001,0,2,2,XPTO123,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9259,MT,3511501,277326,0,6,1,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
9260,ES,3511502,274219,1,7,3,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9261,GO,4322301,498511,0,17,4,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9262,PR,4221902,497560,4,9,4,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
9263,AP,3329599,858318,0,11,2,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9264,AC,3321000,184494,0,16,4,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9265,SE,3321000,465509,1,10,1,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
9266,GO,3511501,608117,0,18,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
9267,AL,7112000,438504,0,1,4,MEL789,SERVIÇOS DE ENGENHARIA
9268,ES,7112000,507923,0,15,1,XPTO123,SERVIÇOS DE ENGENHARIA
9269,SP,3511501,962398,1,13,2,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
9270,GO,4754703,415789,0,3,4,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
9271,AL,3313901,659087,1,1,2,XPTO123,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
9272,MS,2821601,499765,0,13,1,CABL951,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
9273,BA,3329599,540926,0,3,4,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
9274,BA,3511502,619011,0,12,2,JJF753,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
9275,AP,4322302,714935,0,15,4,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
