id;estado_empresa;cnae_empresa;capital_empresa;processos_judiciais_empresa;idade_empresa;socios_empresa;fornecedor_empresa
9362;SP;4321500;96429;3;5;3;MEL789
9363;PI;4321500;902683;0;9;3;XPTO123
9364;RO;3511501;223058;0;16;4;FOO456
9365;AL;3329599;942297;2;12;4;FOO456
9366;AL;3511500;350600;0;17;1;JJF753
9367;SP;3511500;504885;1;21;1;MEL789
9368;PR;3511501;260433;0;13;3;CABL951
9369;GO;4669901;84677;0;11;3;CABL951
9370;CE;3511501;861706;4;15;1;XPTO123
9371;PE;2731700;94948;0;3;4;MEL789
9372;TO;4322303;335705;0;1;4;MEL789
9373;RR;3313901;57842;0;19;3;CABL951
9374;CE;4322301;934201;2;7;3;MEL789
9375;RJ;3313901;437442;0;10;1;FOO456
9376;PR;3329599;634106;3;3;4;FOO456
9377;AM;2821601;67695;0;9;1;MEL789
9378;CE;7112000;808242;0;19;4;MEL789
9379;ES;4221902;238848;0;5;4;CABL951
9380;AM;2731700;827012;4;6;4;CABL951
9381;RR;3511501;683582;0;21;1;MEL789
9382;GO;3511500;976543;0;1;3;XPTO123
9383;MA;3511501;646325;0;4;3;JJF753
9384;RJ;4221903;901533;0;20;2;CABL951
9385;SE;4322301;358927;0;16;4;JJF753
9386;MG;4322301;297178;2;18;2;JJF753
9387;SC;3511501;941313;3;18;3;MEL789
9388;TO;3511501;140808;0;21;2;FOO456
9389;BA;3329599;480927;0;11;2;FOO456
9390;PA;4322302;25275;0;18;1;MEL789
9391;SP;3321000;863643;0;10;1;FOO456
9392;MS;4742300;248786;0;6;3;CABL951
9393;PA;4673700;452543;0;11;4;XPTO123
9394;PI;4321500;605461;0;17;3;MEL789
9395;RR;4221903;105340;4;9;4;FOO456
9396;RS;4322302;721464;1;21;1;FOO456
9397;AC;4322302;882504;0;7;4;XPTO123
9398;PA;2821602;83330;4;9;1;MEL789
9399;RJ;3511500;651609;0;21;1;MEL789
9400;CE;3313901;544440;1;12;2;MEL789
9401;ES;2821601;208036;0;18;1;CABL951
9402;PE;4669901;362193;3;5;3;CABL951
9403;DF;4742300;474005;0;2;4;XPTO123
9404;CE;3321000;93680;3;21;4;XPTO123
9405;DF;2731700;819997;3;6;1;XPTO123
9406;PR;3511501;717140;1;7;2;FOO456
9407;RO;3511501;17729;0;1;3;FOO456
9408;DF;3511502;837171;1;12;3;MEL789
9409;RN;4754703;479887;0;7;2;CABL951
9410;PB;4321500;859811;0;20;4;FOO456
9411;SC;4742300;855961;3;9;2;MEL789
9412;RR;4742300;256441;0;21;3;JJF753
9413;PB;4321500;398942;0;19;3;JJF753
9414;PR;4221903;546362;0;12;2;FOO456
9415;PR;4673700;208104;0;4;2;JJF753
9416;SP;4669999;600235;2;11;4;FOO456
9417;AP;3313901;654715;0;15;2;MEL789
9418;SE;3511502;298321;0;13;1;FOO456
9419;PI;2821602;947504;0;5;2;XPTO123
9420;PE;4669901;803928;0;16;4;MEL789
9421;MA;2821601;302551;2;20;4;FOO456
9422;PB;3329599;352449;2;19;2;XPTO123
9423;AL;3511501;722910;0;2;3;CABL951
9424;AL;4669901;629647;0;8;3;JJF753
9425;AL;2821602;250801;0;3;4;FOO456
9426;BA;4669999;50190;0;18;1;CABL951
9427;AL;3321000;511785;2;4;3;XPTO123
9428;BA;3511502;638181;0;20;4;XPTO123
9429;AM;4221902;136187;1;7;3;MEL789
9430;MG;4321500;970716;0;16;3;JJF753
9431;PR;4221903;846424;0;5;4;FOO456
9432;ES;3511500;53132;0;12;3;JJF753
9433;AM;3511501;569945;3;4;3;XPTO123
9434;MA;4669901;478632;0;6;1;CABL951
9435;TO;3511501;337504;0;14;2;JJF753
9436;RJ;4669999;513979;0;4;4;MEL789
9437;RN;4322301;268285;0;6;1;JJF753
9438;RS;2821601;666289;0;3;3;MEL789
9439;RN;3511502;853675;2;1;3;MEL789
9440;RO;3511500;299821;1;8;3;XPTO123
9441;DF;3511502;362691;0;7;4;CABL951
9442;PA;3313901;672862;0;2;3;FOO456
9443;GO;4742300;91704;0;7;2;MEL789
9444;CE;3511501;645763;2;5;4;FOO456
9445;PA;4321500;148089;1;17;4;CABL951
9446;PI;3511500;762915;1;13;3;JJF753
9447;SC;4322303;651513;0;20;2;XPTO123
9448;SC;3313901;451426;3;4;3;XPTO123
9449;RJ;4322302;484940;4;2;4;XPTO123
9450;PA;4754703;740127;0;13;3;CABL951
9451;AL;4322302;417365;0;5;2;MEL789
9452;DF;2821601;970496;0;15;2;XPTO123
9453;RN;3321000;275956;2;17;4;FOO456
9454;BA;3321000;871239;0;17;1;CABL951
9455;MT;4321500;172643;1;19;4;FOO456
9456;AP;4322303;907348;0;20;2;CABL951
9457;PA;3511500;635734;0;10;1;FOO456
9458;MT;7112000;112517;3;7;2;MEL789
9459;SP;3329599;812596;2;13;1;JJF753
9460;SC;7112000;299150;3;19;3;FOO456
9461;RJ;4221902;750289;0;9;3;MEL789
9462;DF;7112000;988122;3;11;4;CABL951
9463;PB;4321500;309033;1;1;1;MEL789
9464;SP;4221902;719809;0;10;4;FOO456
9465;MA;4322303;446437;0;8;3;MEL789
9466;RR;3329599;144305;0;12;2;FOO456
9467;PR;3511501;759318;0;6;4;MEL789
9468;AM;4322302;470102;0;7;4;FOO456
9469;CE;3511500;621709;0;17;2;CABL951
9470;SP;3511502;744269;0;21;2;JJF753
9471;PB;4669999;770352;0;9;1;MEL789
9472;MS;4742300;674985;0;11;3;JJF753
9473;MT;4669999;432837;0;11;3;XPTO123
9474;DF;4742300;551839;0;4;3;MEL789
9475;SE;2821602;516060;2;15;2;XPTO123
9476;MS;3511500;372869;1;6;1;XPTO123
9477;PE;3511501;932593;0;16;4;FOO456
9478;SE;4669901;53880;1;10;2;XPTO123
9479;ES;4322303;168311;3;1;2;XPTO123
9480;MG;3313901;520435;0;14;4;JJF753
9481;AL;4754703;406921;0;18;2;FOO456
9482;RS;4221902;208179;0;17;3;MEL789
9483;RJ;4322303;477884;2;17;4;CABL951
9484;AC;4221903;551569;2;11;3;FOO456
9485;ES;4669999;231766;2;10;2;CABL951
9486;RN;3511501;46659;0;9;2;CABL951
9487;CE;3511502;962931;3;1;1;JJF753
9488;PE;3511501;686745;0;21;4;MEL789
9489;SP;4754703;454098;0;19;3;MEL789
9490;RO;3511502;378516;0;9;3;XPTO123
9491;MS;2821602;205938;4;3;2;CABL951
9492;RN;4221902;290721;0;20;2;CABL951
9493;MA;2821601;225909;2;17;2;MEL789
9494;AP;3313901;506849;0;15;3;FOO456
9495;AM;4673700;409910;0;4;1;FOO456
9496;RO;4322301;890059;0;17;2;CABL951
9497;PE;4754703;628797;1;3;2;JJF753
9498;RO;2731700;891899;4;2;4;XPTO123
9499;PA;3511501;716457;4;1;1;XPTO123
9500;RR;2821602;486603;0;19;4;MEL789
9501;SP;4321500;704944;2;17;2;XPTO123
9502;PA;4322303;787796;0;21;4;FOO456
9503;PA;3321000;428514;2;14;4;JJF753
9504;RJ;3511502;746378;4;20;4;MEL789
9505;RO;7112000;823438;0;19;3;JJF753
9506;MA;3313901;120192;0;19;3;XPTO123
9507;MS;2821601;59658;4;2;1;XPTO123
9508;MG;3511500;972172;3;17;1;MEL789
9509;SC;3313901;769978;0;3;1;MEL789
9510;AL;7112000;474052;0;6;4;CABL951
9511;DF;3321000;50254;0;21;2;FOO456
9512;AP;4669901;706331;0;5;3;CABL951
9513;SP;4669901;473812;1;13;1;JJF753
9514;AP;4669999;987061;0;11;2;FOO456
9515;SC;3321000;235822;0;16;4;XPTO123
9516;PR;2821601;451588;1;21;3;XPTO123
9517;PA;2731700;399051;2;7;4;XPTO123
9518;SC;4322301;254925;0;17;2;FOO456
9519;AM;4322303;187489;1;10;4;CABL951
9520;CE;3511500;884363;0;9;4;FOO456
9521;RR;3511501;891545;1;14;4;JJF753
9522;CE;4742300;661927;2;1;4;CABL951
9523;SC;2731700;582039;4;1;1;CABL951
9524;MA;2821602;331998;0;2;1;XPTO123
9525;TO;3313901;851592;1;6;4;MEL789
9526;RN;2821602;998698;4;10;3;XPTO123
9527;AP;4669901;228431;0;11;4;JJF753
9528;RO;4669999;473931;1;20;2;MEL789
9529;RR;4322301;143880;2;10;2;XPTO123
9530;ES;4742300;344280;0;18;2;CABL951
9531;PB;3329599;777311;0;15;3;JJF753
9532;PI;2821602;247613;0;18;3;MEL789
9533;AP;4321500;910536;0;5;2;MEL789
9534;AP;4322301;153010;0;1;1;MEL789
9535;DF;3329599;527293;0;4;2;JJF753
9536;AC;4669901;962643;0;4;3;XPTO123
9537;GO;3511500;850578;0;5;4;XPTO123
9538;PR;3329599;198360;0;3;1;XPTO123
9539;RO;4673700;93447;3;20;4;JJF753
9540;CE;3329599;252298;0;3;1;CABL951
9541;BA;3313901;929653;0;19;3;CABL951
9542;RO;4754703;659756;0;14;2;XPTO123
9543;SC;3511501;627264;2;21;4;CABL951
9544;ES;2821602;487294;0;20;2;MEL789
9545;RJ;4742300;673349;2;3;2;FOO456
9546;AM;3313901;97312;0;14;3;MEL789
9547;SP;3511501;423226;0;16;1;JJF753
9548;AL;2821601;11279;0;6;2;JJF753
9549;ES;4322301;268147;2;15;4;JJF753
9550;SC;2821602;487158;0;8;3;JJF753
9551;AP;4322302;593076;3;6;2;FOO456
9552;PI;3511502;911314;0;14;3;FOO456
9553;PA;4321500;978231;0;7;4;XPTO123
9554;ES;4321500;216172;0;6;2;MEL789
9555;ES;4321500;412595;0;11;3;CABL951
9556;SP;4669999;197947;2;10;3;JJF753
9557;PB;2821602;407501;1;12;3;JJF753
9558;SE;3511501;561219;0;20;3;JJF753
9559;PB;3511501;920274;0;7;4;MEL789
9560;ES;4669999;926454;1;7;3;CABL951
9561;BA;4754703;113307;0;9;2;FOO456
9562;SP;2731700;748196;1;9;4;FOO456
9563;GO;4322303;778588;0;18;2;JJF753
9564;PR;3329599;571681;2;17;4;JJF753
9565;MS;3511501;452268;0;19;1;XPTO123
9566;AM;4669901;916392;0;20;3;JJF753
9567;SE;3511502;357922;4;13;3;MEL789
9568;AL;4669999;971944;3;18;4;JJF753
9569;MA;2731700;758162;0;20;3;XPTO123
9570;SC;2731700;608944;0;15;1;JJF753
9571;RJ;4321500;945096;4;3;2;MEL789
9572;AP;4669999;200130;0;8;3;MEL789
9573;SC;4321500;163069;2;21;1;MEL789
9574;MG;4221903;619882;0;9;2;JJF753
9575;RJ;4221902;903461;0;11;4;MEL789
9576;AM;4221903;811104;0;12;2;FOO456
9577;PR;4322303;352072;0;7;3;FOO456
9578;RR;4322303;661383;0;8;4;CABL951
9579;PB;4221902;849555;0;8;2;JJF753
9580;RJ;7112000;41475;0;13;1;MEL789
9581;AL;3511501;461375;0;12;3;MEL789
9582;PA;7112000;115146;0;7;3;FOO456
9583;PR;7112000;230417;0;19;1;MEL789
9584;SC;4754703;852529;0;5;3;CABL951
9585;TO;4669901;64234;3;13;2;CABL951
9586;CE;3313901;613573;0;2;3;CABL951
9587;AM;3511500;483028;4;9;1;JJF753
9588;PE;4673700;164282;0;9;2;XPTO123
9589;MT;4321500;878566;1;17;3;JJF753
9590;AM;3511500;943334;0;16;2;FOO456
9591;MS;4321500;575924;0;18;1;JJF753
9592;AP;3511502;899634;0;7;3;XPTO123
9593;AC;2821602;453463;0;4;4;MEL789
9594;AP;3511502;783118;0;13;2;CABL951
9595;SE;2731700;769482;0;11;4;CABL951
9596;CE;2821601;348955;0;7;3;XPTO123
9597;SE;3511502;507303;4;15;1;MEL789
9598;SE;3321000;192149;0;3;2;JJF753
9599;MS;4669999;394878;0;12;3;JJF753
9600;MA;7112000;869755;0;18;3;FOO456
9601;RO;3321000;692995;2;18;2;MEL789
9602;PR;3511500;64097;0;7;2;MEL789
9603;RS;3511501;398026;0;13;4;CABL951
9604;ES;4754703;911996;0;10;3;JJF753
9605;AC;4669999;438886;2;7;2;JJF753
9606;AM;4322303;892823;0;19;2;CABL951
9607;PR;2821602;612277;0;14;4;FOO456
9608;MG;4669999;76150;2;13;4;CABL951
9609;MS;2821602;541742;0;7;3;MEL789
9610;PB;4321500;863654;0;8;3;JJF753
9611;SC;2821602;493259;0;9;4;FOO456
9612;SC;4673700;148965;0;1;4;XPTO123
9613;SC;3321000;39227;0;21;2;XPTO123
9614;CE;4221902;114180;2;14;1;MEL789
9615;PA;4221903;664571;0;20;3;FOO456
9616;BA;3511500;605952;4;7;1;MEL789
9617;RO;3511502;468804;0;14;2;FOO456
9618;MT;7112000;80770;0;18;2;XPTO123
9619;PB;3511501;751041;0;10;3;XPTO123
9620;PB;4673700;521790;3;11;1;FOO456
9621;AL;3321000;247859;0;17;4;FOO456
9622;GO;4221902;812128;0;9;3;MEL789
9623;MS;4669999;265535;1;4;4;JJF753
9624;PB;4221903;239955;2;13;2;CABL951
9625;PB;4321500;326737;0;5;1;FOO456
9626;MA;3329599;316791;3;3;2;MEL789
9627;AP;3313901;24662;0;21;2;JJF753
9628;PE;3511500;467174;0;17;1;XPTO123
9629;SP;3313901;374392;3;15;1;XPTO123
9630;CE;4321500;511340;4;16;1;FOO456
9631;RR;4321500;491231;2;3;1;JJF753
9632;PI;3511500;498380;0;7;1;MEL789
9633;MA;4221902;183018;0;8;1;XPTO123
9634;MA;3511502;74233;0;12;3;XPTO123
9635;BA;4322303;675691;2;18;2;CABL951
9636;TO;4322302;721478;3;12;3;MEL789
9637;DF;3511502;146192;2;9;2;FOO456
9638;SP;4321500;619049;1;9;3;FOO456
9639;RO;3313901;214578;0;11;1;MEL789
9640;DF;4221902;402753;2;2;3;CABL951
9641;RO;4322302;764470;0;6;2;FOO456
9642;DF;2821602;31856;4;11;2;XPTO123
9643;RS;7112000;890968;0;18;1;JJF753
9644;RR;7112000;818031;0;16;3;CABL951
9645;CE;4673700;927784;0;18;3;CABL951
9646;PB;3511502;417341;1;11;2;MEL789
9647;MG;4221903;916201;3;21;1;FOO456
9648;TO;3329599;295539;0;10;2;FOO456
9649;RR;4669901;563522;0;11;1;CABL951
9650;RR;4669901;740206;0;11;3;CABL951
9651;PA;4221903;154509;0;1;2;FOO456
9652;TO;4322301;798875;4;21;3;FOO456
9653;AL;4221903;911706;3;5;3;JJF753
9654;BA;7112000;974856;2;1;2;FOO456
9655;MG;4322302;512701;0;6;4;XPTO123
9656;AP;2821601;730049;3;18;4;FOO456
9657;AC;4742300;47695;2;8;4;MEL789
9658;RR;3511501;718235;0;2;3;MEL789
9659;DF;4742300;362543;1;8;2;JJF753
9660;PA;4669999;845790;0;1;4;FOO456
9661;PE;3511501;645955;0;18;3;CABL951
9662;PE;3511502;443305;0;8;1;FOO456
9663;SE;3321000;491493;1;9;2;FOO456
9664;PB;3511502;839870;0;15;3;FOO456
9665;PB;3511501;577472;2;5;1;XPTO123
9666;AC;2731700;232793;0;4;3;CABL951
9667;PA;4322303;425119;0;14;1;CABL951
9668;RO;4322302;587228;0;11;1;JJF753
9669;PR;2821601;450040;0;5;4;FOO456
9670;MT;3511502;610860;4;6;4;CABL951
9671;MG;4673700;733422;0;8;3;JJF753
9672;SP;4321500;62087;0;5;3;XPTO123
9673;AP;4321500;664339;0;21;1;MEL789
9674;PE;7112000;495867;1;17;3;CABL951
9675;GO;4221903;416545;4;2;2;MEL789
9676;DF;7112000;547827;0;3;2;MEL789
9677;PI;7112000;918707;0;4;2;MEL789
9678;AL;4321500;374048;0;13;2;XPTO123
9679;PB;3511500;354220;0;17;4;FOO456
9680;PA;4221902;566560;0;10;4;FOO456
9681;TO;4673700;188211;0;18;1;JJF753
9682;PI;4754703;167353;0;14;3;MEL789
9683;GO;4322303;260016;2;10;4;FOO456
9684;CE;3511501;710673;0;14;3;JJF753
9685;RO;4221902;812560;0;1;2;CABL951
9686;CE;2731700;748372;2;9;3;CABL951
9687;ES;4321500;798800;1;5;2;CABL951
9688;BA;3329599;386730;2;11;3;FOO456
9689;TO;4221903;806711;0;14;2;FOO456
9690;AC;3313901;539012;0;13;3;MEL789
9691;PE;3313901;870836;0;17;2;JJF753
9692;AL;4742300;958484;3;3;1;FOO456
9693;ES;4322302;248911;3;13;4;FOO456
9694;PR;2821601;22939;0;21;1;JJF753
9695;AM;4754703;494943;0;10;2;CABL951
9696;RR;4322302;270118;2;19;1;JJF753
9697;AP;4221903;440758;1;15;3;CABL951
9698;MS;3511502;46636;3;18;3;JJF753
9699;PR;4221903;373755;0;13;3;JJF753
9700;PE;4322302;777202;0;19;2;CABL951
9701;PA;4221902;255733;0;7;2;XPTO123
9702;AM;4322301;555245;0;1;1;JJF753
9703;PI;2821601;51268;0;12;3;XPTO123
9704;AL;3329599;578127;3;1;1;FOO456
9705;PB;2731700;109613;3;5;4;XPTO123
9706;AC;2731700;958504;4;12;1;JJF753
9707;GO;3329599;761146;0;13;1;JJF753
9708;ES;4322302;993548;0;12;1;XPTO123
9709;PB;3321000;709881;0;4;1;CABL951
9710;MA;2821601;104726;0;14;3;FOO456
9711;SC;4669999;749535;0;9;2;JJF753
9712;SE;4221902;330172;0;17;2;MEL789
9713;RO;4321500;265664;4;17;3;MEL789
9714;AL;4322303;174515;3;2;4;FOO456
9715;SP;4673700;781738;3;1;1;XPTO123
9716;RR;3329599;744727;4;10;2;FOO456
9717;RR;3511500;596537;0;2;4;JJF753
9718;CE;4221902;444127;0;19;4;FOO456
9719;PB;4221903;937511;0;5;2;XPTO123
9720;PE;4673700;385007;0;6;2;FOO456
9721;PR;4321500;140506;0;18;2;FOO456
9722;RJ;3511500;874368;4;7;3;MEL789
9723;PE;4673700;522721;0;11;1;XPTO123
9724;SP;3511501;377793;0;15;3;JJF753
9725;GO;4669999;797487;3;20;4;FOO456
9726;MS;4673700;769533;0;5;3;CABL951
9727;DF;3511501;637102;0;12;2;MEL789
9728;TO;4754703;305667;0;18;4;XPTO123
9729;SE;4322303;268289;2;10;1;FOO456
9730;PI;4321500;349288;0;1;4;CABL951
9731;SE;2731700;498770;0;10;2;FOO456
9732;AP;2821602;723219;0;4;1;CABL951
9733;TO;3511500;602597;0;9;3;FOO456
9734;ES;3511500;904803;0;12;4;XPTO123
9735;ES;3511501;846507;0;18;1;MEL789
9736;SE;2731700;993882;3;19;1;JJF753
9737;RR;3511501;809132;3;7;2;CABL951
9738;AM;4669999;659905;0;7;3;JJF753
9739;PI;4221903;331014;0;16;4;CABL951
9740;AL;4322303;744028;3;17;2;FOO456
9741;RR;3313901;974074;0;3;1;FOO456
9742;AP;4754703;714650;0;17;2;JJF753
9743;PI;4221902;357468;0;9;3;CABL951
9744;CE;4669999;934199;4;9;4;XPTO123
9745;RO;4321500;542060;0;8;3;CABL951
9746;PE;4321500;50329;3;13;3;CABL951
9747;CE;4221902;989859;3;17;2;XPTO123
9748;CE;3511500;511590;2;7;4;FOO456
9749;MA;4742300;17062;0;3;1;JJF753
9750;PA;3511501;460507;0;10;4;JJF753
9751;ES;4669901;151114;0;10;2;MEL789
9752;SP;4321500;573047;0;1;2;XPTO123
9753;AM;7112000;774470;0;5;2;CABL951
9754;MS;4673700;738246;4;12;3;XPTO123
9755;SP;4221902;699587;4;13;4;MEL789
9756;DF;4322301;459545;4;1;1;MEL789
9757;CE;4321500;638256;3;3;2;FOO456
9758;AL;3313901;354567;2;10;1;XPTO123
9759;SE;4322301;285902;2;11;1;JJF753
9760;RR;3313901;755222;0;20;3;XPTO123
9761;BA;4673700;600458;4;11;2;JJF753
9762;AL;4321500;920691;4;21;3;XPTO123
9763;RJ;4322301;931287;2;5;2;XPTO123
9764;BA;4321500;257312;2;21;3;XPTO123
9765;DF;3511500;645409;0;10;4;MEL789
9766;MA;7112000;67478;3;10;3;JJF753
9767;MG;3321000;900938;0;16;3;JJF753
9768;AP;3511502;890507;0;1;3;XPTO123
9769;MA;2821601;339432;3;11;2;FOO456
9770;GO;7112000;748254;0;20;3;MEL789
9771;MG;4322302;775554;0;20;4;XPTO123
9772;MA;4673700;563204;0;15;3;XPTO123
9773;MT;4669999;181362;4;5;1;FOO456
9774;CE;3313901;489436;0;14;3;XPTO123
9775;PI;3511501;543115;0;19;1;CABL951
9776;RN;4754703;135304;0;4;4;JJF753
9777;PA;3321000;279569;1;13;4;CABL951
9778;RO;3313901;311304;0;9;2;FOO456
9779;AL;4322301;630377;0;9;3;CABL951
9780;PA;4322303;428196;3;8;1;MEL789
9781;RS;4673700;588836;0;2;1;FOO456
9782;TO;4322303;505278;1;1;3;JJF753
9783;TO;3511501;969245;0;15;3;FOO456
9784;AC;3511501;66306;0;8;4;MEL789
9785;MT;3511500;840143;0;20;2;FOO456
9786;AM;4322302;376350;0;3;2;MEL789
9787;PA;4321500;563884;0;7;1;MEL789
9788;SP;4321500;988887;4;16;2;FOO456
9789;AM;3511501;660084;0;15;3;MEL789
9790;GO;2731700;753389;2;20;1;FOO456
9791;GO;4221903;711710;0;14;4;JJF753
9792;RR;4322301;230116;1;4;4;FOO456
9793;BA;4669901;325074;4;16;1;MEL789
9794;RR;4322301;881788;4;1;2;FOO456
9795;SP;4322303;271802;1;21;2;JJF753
9796;GO;3511502;797590;0;5;4;CABL951
9797;AM;4321500;812740;2;17;2;CABL951
9798;AM;4322302;62607;3;16;2;XPTO123
9799;RJ;2821601;590321;0;1;1;XPTO123
9800;RO;3321000;833468;2;20;4;XPTO123
9801;BA;3511500;545379;2;9;2;FOO456
9802;MT;4673700;932443;0;7;1;MEL789
9803;MS;7112000;668313;2;19;3;JJF753
9804;RN;7112000;605165;0;2;2;MEL789
9805;AP;4322303;294087;1;21;4;JJF753
9806;DF;4322303;359495;4;2;4;CABL951
9807;CE;4669901;291478;0;5;1;MEL789
9808;PA;4221903;821278;2;5;4;JJF753
9809;BA;4673700;362209;1;16;2;MEL789
9810;SP;7112000;191937;0;11;2;FOO456
9811;AC;4322302;574027;1;5;3;MEL789
9812;GO;4321500;304447;3;13;2;MEL789
9813;DF;2731700;923353;0;17;1;JJF753
9814;PI;4742300;757232;0;5;3;XPTO123
9815;PE;4669901;472700;0;6;3;JJF753
9816;SP;7112000;597010;2;3;1;JJF753
9817;AP;4673700;908604;0;8;1;XPTO123
9818;SE;4322303;929677;0;2;3;XPTO123
9819;CE;3511500;787246;0;20;3;XPTO123
9820;PE;4221902;227061;0;11;1;FOO456
9821;TO;4754703;371082;0;5;4;JJF753
9822;PI;2821602;166029;0;19;3;JJF753
9823;RN;2821602;49047;0;21;4;CABL951
9824;MT;2731700;697527;0;17;2;FOO456
9825;CE;4322303;90746;0;11;3;CABL951
9826;GO;4322303;632138;4;12;4;FOO456
9827;BA;2731700;367039;0;20;1;CABL951
9828;AP;4669999;296382;3;19;2;CABL951
9829;DF;3313901;986881;2;13;4;CABL951
9830;AP;4322301;792350;0;14;4;XPTO123
9831;CE;3511501;791898;0;15;4;MEL789
9832;PR;7112000;614868;0;21;2;JJF753
9833;GO;2731700;114677;1;7;1;CABL951
9834;MG;4321500;985300;0;13;4;FOO456
9835;CE;4322302;413396;0;6;4;CABL951
9836;PI;4742300;301454;2;14;2;CABL951
9837;SC;3511501;517294;0;10;2;CABL951
9838;RJ;3511501;818081;0;2;2;XPTO123
9839;PE;4669999;877062;0;11;4;XPTO123
9840;MG;4669901;568295;2;3;2;XPTO123
9841;SE;4742300;98423;4;2;3;CABL951
9842;PE;7112000;425895;0;5;4;JJF753
9843;AL;3511500;836975;3;9;2;FOO456
9844;ES;3329599;683911;0;11;4;FOO456
9845;MS;3511501;179743;2;6;1;JJF753
9846;SC;4322302;962590;0;18;2;MEL789
9847;MS;3329599;206076;0;16;1;FOO456
9848;AC;4322302;365663;0;6;3;XPTO123
9849;PI;2731700;372496;1;19;3;XPTO123
9850;PI;4669999;130696;0;16;1;CABL951
9851;DF;4321500;822828;3;2;4;FOO456
9852;TO;4742300;930258;3;2;1;FOO456
9853;RS;4221902;218453;0;5;1;MEL789
9854;PR;4221903;212399;2;16;1;FOO456
9855;PE;4321500;570760;2;13;3;CABL951
9856;MG;4669901;467211;0;5;1;MEL789
9857;PI;4321500;400220;0;6;4;FOO456
9858;AC;4322301;364531;0;17;3;JJF753
9859;SP;2731700;67997;0;2;2;JJF753
9860;AP;4669999;148990;0;12;3;FOO456
9861;MA;4322302;179229;0;10;2;JJF753
9862;DF;3511501;348424;2;19;3;CABL951
9863;PE;7112000;428765;2;5;1;JJF753
9864;PI;4322301;706682;0;16;1;MEL789
9865;BA;4322303;674173;1;4;3;XPTO123
9866;SC;4742300;418088;0;10;1;CABL951
9867;RN;4221903;403084;0;16;1;FOO456
9868;AL;4742300;976104;0;11;4;XPTO123
9869;RR;3321000;370452;0;7;1;CABL951
9870;DF;4221902;959779;2;6;2;JJF753
9871;AL;4673700;255562;4;11;1;CABL951
9872;RR;4673700;657812;0;20;3;XPTO123
9873;RJ;3511501;697869;0;12;3;FOO456
9874;PE;3511501;213111;0;11;3;MEL789
9875;RS;2821602;411892;0;5;3;JJF753
9876;BA;3329599;844734;4;19;2;JJF753
9877;AM;4322301;397004;0;7;3;JJF753
9878;ES;4221902;920138;3;15;3;JJF753
9879;PI;4221903;712470;3;15;1;MEL789
9880;PI;4754703;44529;4;2;4;JJF753
9881;BA;4669999;570666;4;4;2;MEL789
9882;RJ;4322303;846304;0;8;1;CABL951
9883;MT;3321000;15478;0;3;4;JJF753
9884;DF;4321500;440256;0;5;3;MEL789
9885;AM;4669999;924988;0;1;4;MEL789
9886;SE;3321000;516852;0;8;1;FOO456
9887;RO;3511501;250476;0;11;4;XPTO123
9888;MA;2821602;283482;3;3;2;CABL951
9889;TO;2731700;375734;0;13;4;MEL789
9890;MT;3511500;235413;0;7;2;JJF753
9891;PA;3511500;11674;0;17;3;FOO456
9892;MA;4221902;855973;2;15;2;CABL951
9893;GO;3511501;662580;0;4;1;FOO456
9894;DF;4321500;191325;2;6;2;JJF753
9895;PI;4322303;945884;3;16;1;JJF753
9896;MA;4322302;802701;0;19;1;JJF753
9897;SP;4754703;14234;2;11;2;FOO456
9898;PR;4322302;901993;2;18;1;CABL951
9899;AC;3329599;16107;3;9;2;CABL951
9900;PR;4221903;859604;3;1;3;FOO456
9901;AP;4321500;28099;0;21;2;XPTO123
9902;RN;3313901;858324;0;5;1;XPTO123
9903;RN;7112000;261915;0;12;4;JJF753
9904;RR;4669999;210632;2;1;1;JJF753
9905;RJ;4742300;587030;2;17;1;CABL951
9906;PR;3329599;447242;0;12;2;MEL789
9907;AM;2731700;747760;0;7;4;XPTO123
9908;AL;4742300;523648;0;16;1;FOO456
9909;RR;2731700;697950;2;20;4;JJF753
9910;BA;2821602;610303;0;21;3;CABL951
9911;SC;4322301;800068;0;17;2;MEL789
9912;SC;3511501;970474;0;19;4;CABL951
9913;MT;3329599;739312;0;11;3;XPTO123
9914;SP;4221903;162114;4;20;2;XPTO123
9915;PI;2821602;752735;0;4;4;JJF753
9916;RN;7112000;696841;2;9;1;XPTO123
9917;RN;3511502;710672;0;16;3;MEL789
9918;MG;4322302;234795;4;6;4;JJF753
9919;PE;4322302;13833;0;4;2;MEL789
9920;RN;4221903;426995;0;7;1;FOO456
9921;RS;3329599;95827;0;8;2;JJF753
9922;RS;4669999;517832;0;10;3;JJF753
9923;PR;3313901;595245;0;8;2;FOO456
9924;PB;4221903;19088;0;1;1;MEL789
9925;SE;3511501;143202;0;11;1;XPTO123
9926;AP;4673700;81604;0;13;3;FOO456
9927;GO;3329599;388397;1;11;1;XPTO123
9928;AL;4322303;231632;1;18;2;CABL951
9929;PE;4221903;808833;0;20;1;CABL951
9930;MG;7112000;856445;0;10;1;CABL951
9931;BA;3329599;130573;0;2;2;CABL951
9932;AL;3511500;39176;0;13;4;CABL951
9933;PR;2821601;479568;0;1;1;CABL951
9934;MG;4322302;246390;3;3;1;XPTO123
9935;RR;2821602;384216;0;4;3;XPTO123
9936;RR;4673700;887247;0;16;2;MEL789
